id,created_at,image_id,image_title,image_hash,image_bbox_geojson,image_sensing_date,image_size_mb,search_zone,model_name,model_version,model_hash,model_size_mb,model_format,compression_technique,confidence_threshold,iou_threshold,constraint_profile,tile_size,tile_overlap,num_detections,avg_confidence,total_duration_ms,peak_ram_mb,output_hash,input_params_hash,commit_sha,status,trigger_type,pipeline_version,hostname
6d93c639-c085-4bbe-b1b9-4170527fb57c,2026-05-04T13:14:45.474117+00:00,7086e4eb-f8d1-45da-8c29-fc16439e10e2,S1C_IW_GRDH_1SDV_20260504T062632_20260504T062657_007500_00F3A1_9A30.SAFE,a9d1ec27e958038b534eed8443a47f3dc65e6b2ae98d132b2f2f00b126d39a7e,"{""type"":""Polygon"",""coordinates"":[[[-4.929094,35.465809],[-4.570001,36.969955],[-7.51655,37.38438],[-7.818808,35.882137],[-4.929094,35.465809]]]}",2026-05-04T06:26:32.313356+00:00,1698.550048828125,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,int8_dynamic,0.25,0.44999998807907104,sat-high,640,64,4163,0.5328891277313232,1991217.0,4291.4375,86dd2f0f81b7f5c810830e41d93309b63c93f31813f867249625d0a75c0cad6e,,,success,manual,1.0.0,d2199ee09b8c
0441a7d6-9755-4f24-a68b-e12f36931245,2026-05-04T13:48:02.745073+00:00,7086e4eb-f8d1-45da-8c29-fc16439e10e2,S1C_IW_GRDH_1SDV_20260504T062632_20260504T062657_007500_00F3A1_9A30.SAFE,a9d1ec27e958038b534eed8443a47f3dc65e6b2ae98d132b2f2f00b126d39a7e,"{""type"":""Polygon"",""coordinates"":[[[-4.929094,35.465809],[-4.570001,36.969955],[-7.51655,37.38438],[-7.818808,35.882137],[-4.929094,35.465809]]]}",2026-05-04T06:26:32.313356+00:00,1698.550048828125,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,int8_dynamic,0.25,0.44999998807907104,sat-mid,640,64,4163,0.5328891277313232,1986515.5,4302.03125,7d8dbfc17dc0b30b064099919c37498dcc365c61c262a749f48c897d5066f1d8,,,success,manual,1.0.0,d2199ee09b8c
c289b9d0-0340-4e58-907e-52f0839defb1,2026-05-04T14:21:15.054766+00:00,7086e4eb-f8d1-45da-8c29-fc16439e10e2,S1C_IW_GRDH_1SDV_20260504T062632_20260504T062657_007500_00F3A1_9A30.SAFE,a9d1ec27e958038b534eed8443a47f3dc65e6b2ae98d132b2f2f00b126d39a7e,"{""type"":""Polygon"",""coordinates"":[[[-4.929094,35.465809],[-4.570001,36.969955],[-7.51655,37.38438],[-7.818808,35.882137],[-4.929094,35.465809]]]}",2026-05-04T06:26:32.313356+00:00,1698.550048828125,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,int8_dynamic,0.25,0.44999998807907104,sat-low,640,64,4163,0.5328891277313232,15003125.0,6996.09765625,52539106c8327ee63c05af1c2445999e7957e0f743070372cdfbb553dd0333b1,,,error,manual,1.0.0,d2199ee09b8c
33ee6613-c60a-41a4-a839-895df2a5181f,2026-05-04T18:27:07.569271+00:00,7086e4eb-f8d1-45da-8c29-fc16439e10e2,S1C_IW_GRDH_1SDV_20260504T062632_20260504T062657_007500_00F3A1_9A30.SAFE,a9d1ec27e958038b534eed8443a47f3dc65e6b2ae98d132b2f2f00b126d39a7e,"{""type"":""Polygon"",""coordinates"":[[[-4.929094,35.465809],[-4.570001,36.969955],[-7.51655,37.38438],[-7.818808,35.882137],[-4.929094,35.465809]]]}",2026-05-04T06:26:32.313356+00:00,1698.550048828125,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,int8_dynamic,0.25,0.44999998807907104,ground,640,64,0,,,,,3f3f027cc4780b0459828986b19c475918d8dba5a543534100e033bfe512888b,92b2515,error,scheduled,1.0.0,d2199ee09b8c
3e1d7d71-117a-4fb4-b4d0-f603dfd1c723,2026-05-04T18:31:25.882897+00:00,7086e4eb-f8d1-45da-8c29-fc16439e10e2,S1C_IW_GRDH_1SDV_20260504T062632_20260504T062657_007500_00F3A1_9A30.SAFE,a9d1ec27e958038b534eed8443a47f3dc65e6b2ae98d132b2f2f00b126d39a7e,"{""type"":""Polygon"",""coordinates"":[[[-4.929094,35.465809],[-4.570001,36.969955],[-7.51655,37.38438],[-7.818808,35.882137],[-4.929094,35.465809]]]}",2026-05-04T06:26:32.313356+00:00,1698.550048828125,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,int8_dynamic,0.25,0.44999998807907104,sat-extreme,640,64,0,,,,,,,error,manual,1.0.0,d2199ee09b8c
59113097-49ee-47fe-ae43-2c4b005e70c4,2026-05-04T18:41:24.973033+00:00,7086e4eb-f8d1-45da-8c29-fc16439e10e2,S1C_IW_GRDH_1SDV_20260504T062632_20260504T062657_007500_00F3A1_9A30.SAFE,a9d1ec27e958038b534eed8443a47f3dc65e6b2ae98d132b2f2f00b126d39a7e,"{""type"":""Polygon"",""coordinates"":[[[-4.929094,35.465809],[-4.570001,36.969955],[-7.51655,37.38438],[-7.818808,35.882137],[-4.929094,35.465809]]]}",2026-05-04T06:26:32.313356+00:00,1698.550048828125,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,int8_dynamic,0.25,0.44999998807907104,sat-low,640,64,4163,0.5328891277313232,4007947.5,3411.9765625,ef332d57be1a54468750e689dc9d0a741766ff28787409ea0d86e975103a59dd,cafc85e822d811225197b80cb2f425eb7544d74192aa5d4ab039f43893e811df,92b2515,success,manual,1.0.0,4da1efeddb5b
ad96afe2-bfff-47ea-af59-41ce63c78a20,2026-05-05T00:40:34.478104+00:00,b028b2e2-e618-4cc3-aa9e-3f6e17ae88d5,S1D_IW_GRDH_1SDV_20260504T182548_20260504T182613_002638_004683_60D4.SAFE,678c7c4f96655befb1c56438da41dcd03d1447af14c861a1e0410025d54c4eae,"{""type"":""Polygon"",""coordinates"":[[[-8.472241,36.955196],[-8.112207,35.451138],[-5.27915,35.859795],[-5.583768,37.362003],[-8.472241,36.955196]]]}",2026-05-04T18:25:48.636437+00:00,1665.739990234375,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,int8_dynamic,0.25,0.44999998807907104,ground,640,64,2220,0.5367186665534973,2513901.25,4645.2421875,47b662b68aa4a34a10204a6b00afcf9b142e089f7f1d26eeb3bce5e8e0114ff0,3f3f027cc4780b0459828986b19c475918d8dba5a543534100e033bfe512888b,92b2515,success,scheduled,1.0.0,4da1efeddb5b
7c3231be-1e41-4234-b535-92e885944ab8,2026-05-05T06:18:41.475466+00:00,7086e4eb-f8d1-45da-8c29-fc16439e10e2,S1C_IW_GRDH_1SDV_20260504T062632_20260504T062657_007500_00F3A1_9A30.SAFE,a9d1ec27e958038b534eed8443a47f3dc65e6b2ae98d132b2f2f00b126d39a7e,"{""type"":""Polygon"",""coordinates"":[[[-4.929094,35.465809],[-4.570001,36.969955],[-7.51655,37.38438],[-7.818808,35.882137],[-4.929094,35.465809]]]}",2026-05-04T06:26:32.313356+00:00,1698.550048828125,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,int8_dynamic,0.25,0.44999998807907104,sat-extreme,640,64,4163,0.5328891277313232,9714975.0,6970.2578125,cd6c344b1c93584839b8c3db695272ec68b39da7a3a8da0c47932527b7bb896d,72514eba520ec4346b49a48d8d181bbc7ec8d5b14d1f785fe51bcff3f5d9c1f6,92b2515,success,manual,1.0.0,4da1efeddb5b
2183315a-293c-4690-9e0b-f2d8f11e6c54,2026-05-05T06:40:34.504025+00:00,b028b2e2-e618-4cc3-aa9e-3f6e17ae88d5,S1D_IW_GRDH_1SDV_20260504T182548_20260504T182613_002638_004683_60D4.SAFE,678c7c4f96655befb1c56438da41dcd03d1447af14c861a1e0410025d54c4eae,"{""type"":""Polygon"",""coordinates"":[[[-8.472241,36.955196],[-8.112207,35.451138],[-5.27915,35.859795],[-5.583768,37.362003],[-8.472241,36.955196]]]}",2026-05-04T18:25:48.636437+00:00,1665.739990234375,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,int8_dynamic,0.25,0.44999998807907104,ground,640,64,2220,0.5367186665534973,2803695.25,6970.2578125,d24ea2b06e169209153ffb7be030ea60b7d29d5617f38c9e58cd1e0909feeecd,3f3f027cc4780b0459828986b19c475918d8dba5a543534100e033bfe512888b,92b2515,success,scheduled,1.0.0,4da1efeddb5b
a42a98a4-dd79-49d9-a0be-4484ccfd7122,2026-05-05T12:40:34.441852+00:00,76f82d1c-24d3-40de-bcab-6f14fd467c71,S1D_IW_GRDH_1SDV_20260505T062642_20260505T062707_002645_0046BC_4AA4.SAFE,0bec6fb42825e3a1d240ab9ca630c8cadd1e774b8eb890b74eaf4dde1521474a,"{""type"":""Polygon"",""coordinates"":[[[-4.929463,35.465714],[-4.570348,36.969948],[-7.516903,37.384338],[-7.819178,35.882008],[-4.929463,35.465714]]]}",2026-05-05T06:26:42.128397+00:00,1698.6800537109375,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,int8_dynamic,0.25,0.44999998807907104,ground,640,64,0,,,,,3f3f027cc4780b0459828986b19c475918d8dba5a543534100e033bfe512888b,92b2515,running,scheduled,1.0.0,4da1efeddb5b
173bbdb5-aaf2-489d-8e34-cec4243705d4,2026-05-06T02:53:04.866173+00:00,76f82d1c-24d3-40de-bcab-6f14fd467c71,S1D_IW_GRDH_1SDV_20260505T062642_20260505T062707_002645_0046BC_4AA4.SAFE,0bec6fb42825e3a1d240ab9ca630c8cadd1e774b8eb890b74eaf4dde1521474a,"{""type"":""Polygon"",""coordinates"":[[[-4.929463,35.465714],[-4.570348,36.969948],[-7.516903,37.384338],[-7.819178,35.882008],[-4.929463,35.465714]]]}",2026-05-05T06:26:42.128397+00:00,1698.6800537109375,gibraltar,vesseltracker-sar-yolov8-int8-dynamic,1.0.0,ea0ee6dacd5d389ab5a3778362061776cd52307f0978d6c7db0980935f21573b,25.059999465942383,onnx,dynamic_int8,0.25,0.44999998807907104,ground,640,64,9604,0.5371003746986389,2012570.125,3422.48828125,d30f0eead8e9cf5dc61922f9de715177c51f11bfcb3d332c5b623313c0837559,3f3f027cc4780b0459828986b19c475918d8dba5a543534100e033bfe512888b,92b2515,success,scheduled,1.0.0,e6ada07f6370
